trade_date,open,high,low,close,volume,openinterest
2022-03-03,1760.53,1769.49,1749.34,1758.29,578285.05,0
2022-03-04,1748.22,1749.34,1710.17,1715.76,990935.66,0
2022-03-07,1697.86,1697.86,1640.78,1647.49,1113158.99,0
2022-03-08,1636.3,1663.16,1594.89,1601.6,1003032.69,0
2022-03-09,1611.68,1617.27,1479.61,1549.0,1800760.17,0
2022-03-10,1587.05,1650.85,1576.98,1630.7,2249158.16,0
2022-03-11,1611.68,1676.59,1583.7,1667.64,1493646.97,0
2022-03-14,1637.42,1671.0,1617.27,1621.75,1118407.34,0
2022-03-15,1611.68,1611.68,1522.14,1531.09,1781408.87,0
2022-03-16,1551.24,1611.68,1512.07,1601.6,1531779.06,0
2022-03-17,1640.78,1646.37,1593.77,1617.27,1730061.42,0
2022-03-18,1607.2,1662.04,1582.58,1645.25,1528807.13,0
2022-03-21,1622.87,1658.68,1610.56,1632.94,1208868.05,0
2022-03-22,1632.94,1703.45,1622.87,1698.98,1628656.58,0
2022-03-23,1691.14,1700.1,1667.64,1678.83,1050102.38,0
2022-03-24,1669.88,1713.53,1657.56,1701.21,1002359.95,0
2022-03-25,1695.62,1706.81,1658.68,1676.59,742933.35,0
2022-03-28,1656.45,1684.43,1637.42,1662.04,727136.99,0
2022-03-29,1665.4,1673.23,1634.06,1643.01,615643.15,0
2022-03-30,1663.16,1709.05,1651.97,1702.33,1236791.55,0
2022-03-31,1690.02,1742.63,1685.55,1721.36,1163746.74,0
2022-04-01,1720.24,1767.25,1701.21,1762.77,1484878.74,0
2022-04-06,1750.46,1851.19,1749.34,1834.4,2488540.05,0
2022-04-07,1833.28,1864.62,1813.14,1822.09,1659064.55,0
2022-04-08,1819.85,1841.12,1805.3,1835.52,1066779.46,0
2022-04-11,1829.92,1835.52,1768.37,1796.35,1416735.36,0
2022-04-12,1796.35,1819.85,1752.7,1781.8,1039261.42,0
2022-04-13,1778.44,1799.71,1759.41,1768.37,890628.06,0
2022-04-14,1790.75,1818.73,1781.8,1795.23,929614.94,0
2022-04-15,1779.56,1850.07,1775.08,1837.76,1231761.03,0
2022-04-18,1807.54,1813.14,1769.49,1779.56,1086887.56,0
2022-04-19,1779.56,1787.39,1748.22,1769.49,821772.49,0
2022-04-20,1769.49,1796.35,1757.18,1773.96,716555.28,0
2022-04-21,1765.01,1788.51,1757.18,1769.49,709891.16,0
2022-04-22,1750.46,1812.02,1723.6,1797.47,921274.08,0
2022-04-25,1753.82,1780.68,1654.21,1662.04,1664480.98,0
2022-04-26,1665.4,1676.59,1617.27,1648.61,988209.56,0
2022-04-27,1676.59,1751.58,1674.35,1751.58,1490295.03,0
2022-04-28,1742.63,1782.92,1720.24,1751.58,911771.87,0
2022-04-29,1756.06,1761.65,1675.47,1714.65,1645013.08,0
2022-05-05,1701.21,1729.19,1695.62,1714.65,790196.2,0
2022-05-06,1681.07,1701.21,1668.76,1674.35,832431.82,0
2022-05-09,1672.11,1672.11,1618.39,1628.47,818621.35,0
2022-05-10,1622.87,1634.06,1579.22,1632.94,992285.02,0
2022-05-11,1627.35,1660.92,1616.15,1637.42,848573.62,0
2022-05-12,1620.63,1629.58,1603.84,1609.44,685064.23,0
2022-05-13,1622.87,1640.78,1621.75,1635.18,676311.91,0
2022-05-16,1640.78,1648.61,1606.08,1612.8,668227.82,0
2022-05-17,1623.99,1647.49,1602.72,1646.37,931406.39,0
2022-05-18,1662.04,1666.52,1641.9,1650.85,778578.33,0
2022-05-19,1628.47,1645.25,1622.87,1636.3,590921.72,0
2022-05-20,1645.25,1683.31,1641.9,1681.07,948597.78,0
2022-05-23,1686.66,1686.66,1651.97,1659.8,647725.92,0
2022-05-24,1664.28,1664.28,1611.68,1611.68,933557.06,0
2022-05-25,1615.03,1621.75,1600.48,1610.56,603228.26,0
2022-05-26,1612.8,1615.03,1574.74,1588.17,1011317.56,0
2022-05-27,1599.37,1606.08,1579.22,1587.05,723066.74,0
2022-05-30,1596.01,1598.25,1571.38,1575.86,896901.23,0
2022-05-31,1574.74,1587.05,1566.91,1584.82,938868.55,0
2022-06-01,1582.58,1582.58,1566.91,1575.86,845298.98,0
2022-06-02,1569.15,1570.27,1553.48,1561.31,979268.22,0
2022-06-06,1556.84,1585.93,1526.62,1585.93,1710851.75,0
2022-06-07,1569.15,1594.89,1565.79,1584.82,1315112.62,0
2022-06-08,1584.82,1585.93,1568.03,1584.82,1145521.24,0
2022-06-09,1582.58,1618.39,1578.1,1606.08,1632901.34,0
2022-06-10,1596.01,1603.84,1581.46,1602.72,1346012.31,0
2022-06-13,1587.05,1588.17,1553.48,1556.84,1547752.85,0
2022-06-14,1534.45,1581.46,1534.45,1580.34,1151429.39,0
2022-06-15,1578.1,1691.14,1573.62,1649.73,3413543.71,0
2022-06-16,1649.73,1659.8,1613.92,1616.15,1332546.31,0
2022-06-17,1602.72,1626.23,1589.29,1617.27,1053787.94,0
2022-06-20,1616.15,1616.15,1596.01,1604.96,1032166.8,0
2022-06-21,1604.96,1637.42,1592.65,1608.32,1321793.98,0
2022-06-22,1607.2,1607.2,1575.86,1575.86,1056045.92,0
2022-06-23,1576.98,1592.65,1573.62,1589.29,806028.03,0
